subject,analysis_type,num_mutants,avg. time duration,met_acc5,met_acc10,muse_acc5,muse_acc10
zlib_ng_TF_top30,allfails-excludeCCT-noHeuristics,10,1.4694007142372265,98.1,99.37,99.37,100.0
zlib_ng_TF_top30,rand50-excludeCCT-noHeuristics,10,0.7274677578163885,93.04,95.57,95.57,95.57
zlib_ng_TF_top30,sbflnaish250-excludeCCT-noHeuristics,10,0.7343072902456279,98.73,99.37,99.37,99.37
libxml2_TF_top30,allfails-excludeCCT-noHeuristics,10,27.55839252557347,75.0,76.69,71.19,76.27
libxml2_TF_top30,rand50-excludeCCT-noHeuristics,10,13.78867945696423,52.97,55.93,51.27,57.2
libxml2_TF_top30,sbflnaish250-excludeCCT-noHeuristics,10,13.98313112917649,75.42,77.97,72.88,78.81
opencv_features2d_TF_top30,allfails-excludeCCT-noHeuristics,10,12.761457321382514,60.83,82.08,78.33,90.0
opencv_features2d_TF_top30,rand50-excludeCCT-noHeuristics,10,6.362948213212749,52.92,80.83,67.08,86.25
opencv_features2d_TF_top30,sbflnaish250-excludeCCT-noHeuristics,10,6.448623903415823,63.75,84.58,76.67,89.17
opencv_imgproc_TF_top30,allfails-excludeCCT-noHeuristics,10,9.029280627902269,71.55,79.31,73.71,81.03
opencv_imgproc_TF_top30,rand50-excludeCCT-noHeuristics,10,4.505995937603242,61.21,68.97,65.52,71.98
opencv_imgproc_TF_top30,sbflnaish250-excludeCCT-noHeuristics,10,4.531854950583813,66.81,73.71,69.83,75.0
opencv_core_TF_top30,allfails-excludeCCT-noHeuristics,10,66.6168277444034,68.97,69.4,64.66,69.4
opencv_core_TF_top30,rand50-excludeCCT-noHeuristics,10,33.15468089550648,46.12,46.98,45.26,49.57
opencv_core_TF_top30,sbflnaish250-excludeCCT-noHeuristics,10,33.51147062432665,68.97,70.26,68.1,75.43
opencv_calib3d_TF_top30,allfails-excludeCCT-noHeuristics,10,15.8461149875042,61.04,74.03,71.86,82.68
opencv_calib3d_TF_top30,rand50-excludeCCT-noHeuristics,10,7.92146919755049,50.22,67.97,61.9,80.52
opencv_calib3d_TF_top30,sbflnaish250-excludeCCT-noHeuristics,10,7.955971433657933,63.2,78.35,69.7,83.55
