subject,method_name,avg_num_lines_executed_by_failing_tcs,avg_num_funcs_executed_by_failing_tcs,avg_num_utilized_mutants_overall,avg_mut_cnt_buggy_line,avg_f2p_buggy_line,avg_p2f_buggy_line,avg_num_ccts
zlib_ng_TF_top30,sbfl-based-100,47.94,4.05,340.18,8.43,42.22,18.85,6.5
zlib_ng_TF_top30,sbfl-based-50,47.94,4.05,168.46,6.95,42.04,18.85,6.5
zlib_ng_TF_top30,sbfl-based-30,47.94,4.05,100.13,6.32,41.94,18.85,6.5
zlib_ng_TF_top30,sbfl-based-10,47.94,4.05,32.72,4.91,39.29,17.04,6.5
zlib_ng_TF_top30,sbfl-based-1,47.94,4.05,7.66,2.44,17.49,8.7,6.5
zlib_ng_TF_top30,sbfl-based-0,47.94,4.05,0.0,0.0,0.0,0.0,6.5
libxml2_TF_top30,sbfl-based-100,2337.66,119.69,15461.43,8.43,23.97,0.08,7.58
libxml2_TF_top30,sbfl-based-50,2337.66,119.69,7664.85,8.43,23.97,0.08,7.58
libxml2_TF_top30,sbfl-based-30,2337.66,119.69,4592.9,8.43,23.97,0.08,7.58
libxml2_TF_top30,sbfl-based-10,2337.66,119.69,1519.75,8.31,22.36,0.08,7.58
libxml2_TF_top30,sbfl-based-1,2337.66,119.69,150.98,4.81,14.62,0.01,7.58
libxml2_TF_top30,sbfl-based-0,2337.66,119.69,0.0,0.0,0.0,0.0,7.58
opencv_features2d_TF_top30,sbfl-based-100,467.12,21.7,3757.05,9.15,2.65,0.09,2.69
opencv_features2d_TF_top30,sbfl-based-50,467.12,21.7,1878.6,6.92,2.21,0.07,2.69
opencv_features2d_TF_top30,sbfl-based-30,467.12,21.7,1122.32,5.14,1.6,0.06,2.69
opencv_features2d_TF_top30,sbfl-based-10,467.12,21.7,375.18,2.88,0.99,0.0,2.69
opencv_features2d_TF_top30,sbfl-based-1,467.12,21.7,35.2,0.25,0.02,0.0,2.69
opencv_features2d_TF_top30,sbfl-based-0,467.12,21.7,0.0,0.0,0.0,0.0,2.69
opencv_imgproc_TF_top30,sbfl-based-100,195.48,13.34,1346.81,8.85,3.47,0.08,0.67
opencv_imgproc_TF_top30,sbfl-based-50,195.48,13.34,676.75,6.19,3.03,0.07,0.67
opencv_imgproc_TF_top30,sbfl-based-30,195.48,13.34,407.15,4.8,2.19,0.05,0.67
opencv_imgproc_TF_top30,sbfl-based-10,195.48,13.34,131.51,2.07,0.88,0.01,0.67
opencv_imgproc_TF_top30,sbfl-based-1,195.48,13.34,11.56,0.34,0.19,0.0,0.67
opencv_imgproc_TF_top30,sbfl-based-0,195.48,13.34,0.0,0.0,0.0,0.0,0.67
opencv_core_TF_top30,sbfl-based-100,969.56,124.24,5586.95,8.74,29.66,5.22,10.64
opencv_core_TF_top30,sbfl-based-50,969.56,124.24,2832.79,8.69,29.66,5.22,10.64
opencv_core_TF_top30,sbfl-based-30,969.56,124.24,1706.59,8.59,29.61,5.22,10.64
opencv_core_TF_top30,sbfl-based-10,969.56,124.24,570.93,6.59,29.05,5.22,10.64
opencv_core_TF_top30,sbfl-based-1,969.56,124.24,54.86,2.22,19.38,5.17,10.64
opencv_core_TF_top30,sbfl-based-0,969.56,124.24,0.0,0.0,0.0,0.0,10.64
jsoncpp_TF_top30,sbfl-based-100,430.88,77.91,2180.18,8.35,12.66,0.83,3.27
jsoncpp_TF_top30,sbfl-based-50,430.88,77.91,1089.22,8.35,12.66,0.83,3.27
jsoncpp_TF_top30,sbfl-based-30,430.88,77.91,664.09,8.32,12.66,0.83,3.27
jsoncpp_TF_top30,sbfl-based-10,430.88,77.91,236.1,7.65,12.09,0.83,3.27
jsoncpp_TF_top30,sbfl-based-1,430.88,77.91,23.25,3.14,7.03,0.83,3.27
jsoncpp_TF_top30,sbfl-based-0,430.88,77.91,0.0,0.0,0.0,0.0,3.27
