subject,method_name,avg_num_failing_tcs,avg_num_passing_tcs,avg_num_ccts,avg_num_utilized_failing_tcs,avg_num_utilized_passing_tcs,avg_num_utilized_ccts,avg_num_utilized_mutants,avg_num_utilized_mutants_per_line,avg_buggy_line_mut_cnt,avg_buggy_line_f2p,avg_buggy_line_p2f,avg_total_mut_build_time,avg_total_tcs_exec_time,avg_num_lines_executed_by_failing_tcs,avg_num_funcs_executed_by_failing_tcs
zlib_ng_exp1,allfails-10mut-allPass,24.36,733.24,8.85,24.36,733.24,0.0,360.73,7.12,8.51,31.87,14.03,224.56,3065.05,50.74,4.29
zlib_ng_exp1,sbfl20-3mut-brSim70,24.36,733.24,8.85,24.36,512.63,0.0,3.95,0.81,0.5,4.19,1.23,2.37,24.18,50.74,4.29
zlib_ng_exp1,sbfl20-3mut-brSim50,24.36,733.24,8.85,24.36,366.29,0.0,3.94,0.81,0.5,2.37,1.13,2.36,18.16,50.74,4.29
zlib_ng_exp1,sbfl20-3mut-brSim30,24.36,733.24,8.85,24.36,219.72,0.0,3.93,0.81,0.5,3.41,1.18,2.36,11.84,50.74,4.29
zlib_ng_exp1,sbfl20-3mut-brSim10,24.36,733.24,8.85,24.36,72.85,0.0,3.91,0.8,0.5,2.36,0.82,2.36,4.93,50.74,4.29
libxml2_exp1,allfails-10mut-allPass,13.36,76.81,8.46,13.36,76.81,0.0,14850.71,6.58,8.75,24.68,0.13,52293.58,13719.76,2242.6,117.12
libxml2_exp1,sbfl20-3mut-brSim70,13.36,76.81,8.46,13.36,53.35,0.0,173.43,0.78,0.95,2.45,0.0,599.71,118.69,2242.6,117.12
libxml2_exp1,sbfl20-3mut-brSim50,13.36,76.81,8.46,13.36,38.15,0.0,173.26,0.77,0.95,3.37,0.0,594.45,93.05,2242.6,117.12
libxml2_exp1,sbfl20-3mut-brSim30,13.36,76.81,8.46,13.36,22.57,0.0,173.16,0.77,0.94,2.8,0.0,588.69,66.75,2242.6,117.12
libxml2_exp1,sbfl20-3mut-brSim10,13.36,76.81,8.46,13.36,7.22,0.0,172.45,0.77,0.92,2.83,0.0,568.39,40.43,2242.6,117.12
opencv_features2d_exp1,allfails-10mut-allPass,2.0,56.5,3.2,2.0,56.5,0.0,3835.98,7.78,9.14,3.0,0.03,16942.07,32689.51,478.77,22.35
opencv_features2d_exp1,sbfl20-3mut-brSim70,2.0,56.5,3.2,2.0,38.99,0.0,43.5,0.89,0.33,0.06,0.0,192.34,266.04,478.77,22.35
opencv_features2d_exp1,sbfl20-3mut-brSim50,2.0,56.5,3.2,2.0,27.9,0.0,43.51,0.89,0.33,0.12,0.0,192.48,214.53,478.77,22.35
opencv_features2d_exp1,sbfl20-3mut-brSim30,2.0,56.5,3.2,2.0,16.54,0.0,43.51,0.89,0.33,0.11,0.0,192.45,151.05,478.77,22.35
opencv_features2d_exp1,sbfl20-3mut-brSim10,2.0,56.5,3.2,2.0,5.19,0.0,43.49,0.89,0.33,0.06,0.0,192.26,45.54,478.77,22.35
opencv_imgproc_exp1,allfails-10mut-allPass,2.43,96.79,0.65,2.43,96.79,0.0,1378.04,6.82,8.8,2.95,0.0,14625.49,12257.57,199.08,13.86
opencv_imgproc_exp1,sbfl20-3mut-brSim70,2.43,96.79,0.65,2.43,67.23,0.0,15.87,0.81,0.25,0.12,0.0,164.1,95.58,199.08,13.86
opencv_imgproc_exp1,sbfl20-3mut-brSim50,2.43,96.79,0.65,2.43,48.01,0.0,15.87,0.81,0.25,0.09,0.0,164.2,77.76,199.08,13.86
opencv_imgproc_exp1,sbfl20-3mut-brSim30,2.43,96.79,0.65,2.43,28.56,0.0,15.87,0.81,0.25,0.06,0.0,164.38,60.57,199.08,13.86
opencv_imgproc_exp1,sbfl20-3mut-brSim10,2.43,96.79,0.65,2.43,9.0,0.0,15.87,0.81,0.25,0.15,0.0,164.25,15.89,199.08,13.86
opencv_core_exp1,allfails-10mut-allPass,16.71,273.12,8.05,16.71,273.12,0.0,5142.56,5.3,8.43,28.56,0.0,65943.63,103195.94,971.84,123.99
opencv_core_exp1,sbfl20-3mut-brSim70,16.71,273.12,8.05,16.71,190.67,0.0,67.41,0.71,0.67,1.95,0.0,861.64,962.82,971.84,123.99
opencv_core_exp1,sbfl20-3mut-brSim50,16.71,273.12,8.05,16.71,136.22,0.0,67.39,0.71,0.66,2.09,0.0,864.96,702.84,971.84,123.99
opencv_core_exp1,sbfl20-3mut-brSim30,16.71,273.12,8.05,16.71,81.47,0.0,67.66,0.71,0.64,1.25,0.0,876.09,447.03,971.84,123.99
opencv_core_exp1,sbfl20-3mut-brSim10,16.71,273.12,8.05,16.71,26.63,0.0,67.68,0.71,0.63,3.06,0.0,878.03,196.93,971.84,123.99
jsoncpp_exp1,allfails-10mut-allPass,6.39,116.19,2.14,6.39,116.19,0.0,2205.47,4.95,8.01,10.4,0.0,5169.71,993.81,437.05,78.8
jsoncpp_exp1,sbfl20-3mut-brSim70,6.39,116.19,2.14,6.39,80.83,0.0,33.36,0.79,0.95,1.19,0.0,77.82,10.76,437.05,78.8
jsoncpp_exp1,sbfl20-3mut-brSim50,6.39,116.19,2.14,6.39,57.91,0.0,33.29,0.78,0.95,1.42,0.0,77.6,7.99,437.05,78.8
jsoncpp_exp1,sbfl20-3mut-brSim30,6.39,116.19,2.14,6.39,34.45,0.0,32.98,0.77,0.95,1.53,0.0,76.45,5.13,437.05,78.8
jsoncpp_exp1,sbfl20-3mut-brSim10,6.39,116.19,2.14,6.39,11.25,0.0,32.38,0.76,0.91,1.45,0.0,74.7,2.33,437.05,78.8
